Feature,CASE Median,CTRL Median,Cluster Number,P Val,Bonferroni P-Values
102Pd,5.22957456062525,5.32058794698919,2,9.988882777970192e-13,2.1575986800415613e-10
102Pd,4.86503986091347,4.91193223666861,4,1.2772236749048441e-12,2.7588031377944635e-10
106Pd,4.693246534301255,3.69629228722554,1,1.5737115285616958e-12,3.399216901693263e-10
110Pd,1.047604894444095,2.21542534954984,9,5.459994472321532e-09,1.1793588060214508e-06
108Pd,1.74950926638866,4.91715449574256,7,5.7664281211662095e-09,1.2455484741719012e-06
127I,0.0,0.0,3,1.455414522485097e-08,3.1436953685678096e-06
106Pd,2.518713359021305,2.821969573388265,6,7.27981114398112e-08,1.572439207099922e-05
160Dy,1.43881123252081,1.54797072416029,1,2.580746177920446e-07,5.574411744308163e-05
105Pd,2.63267737977634,2.61185920058614,4,9.334056962476549e-07,0.00020161563038949347
106Pd,4.069663654333175,2.46973607588711,3,1.6623708940109278e-06,0.0003590721131063604
142Ce,2.17193145310734,2.0914915250699,1,1.9953979294363363e-06,0.00043100595275824864
142Ce,2.06854606270164,1.77262533048276,9,2.2558372089685677e-06,0.0004872608371372106
106Pd,1.8212065555727648,2.17981862411202,9,1.3079002612699055e-05,0.002825064564342996
160Dy,1.25973228575596,1.32845601612319,4,4.5173640068547876e-05,0.009757506254806342
102Pd,5.11746904991133,5.17619971820195,5,4.919859642828465e-05,0.010626896828509484
113In,0.0,0.0,4,7.196476291299996e-05,0.015544388789207992
127I,0.0,0.0,1,8.11396121183943e-05,0.01752615621757317
176Lu,0.497772295556278,0.4109230370195695,6,0.0001899470685359947,0.041028566803774855
190BCKG,0.0,0.0,5,0.00026801230350073847,0.057890657556159505
105Pd,3.950680759441045,2.8855671495523447,6,0.0002746147423183509,0.059316784340763797
193Ir,5.72225764680707,5.72974986160518,8,0.0003378921229052878,0.07298469854754217
208Pb,0.594725642633708,0.647218377903333,3,0.00046994917108677213,0.10150902095474278
110Pd,4.02298996416723,1.35950375810552,7,0.0005690058745499477,0.1229052689027887
193Ir,5.7444265309453755,5.75433856396064,3,0.0007170411097659629,0.15488087970944797
145Nd,0.0,0.0,5,0.000768519404501157,0.16600019137224992
191Ir,5.1396114956086745,5.1497674524405,3,0.000941529481368958,0.20337036797569494
108Pd,4.43136303315786,4.03775372053368,9,0.0010300670616580547,0.2224944853181398
208Pb,0.726871553805547,0.657145271224422,5,0.0014796934698385667,0.3196137894851304
191Ir,5.15775878905433,5.1727908457917,5,0.0021550873889330706,0.46549887600954326
113In,0.0,0.0,2,0.0021799001690906176,0.4708584365235734
191Ir,5.12512965621327,5.136449295728291,8,0.0021875658948230566,0.4725142332817802
191Ir,5.10014256441932,5.11019847448208,4,0.002223608706284674,0.4802994805574896
176Lu,0.321643344447997,0.375986568836702,5,0.0029475026636368285,0.636660575345555
161Dy,0.0,0.0,3,0.004342235058274807,0.9379227725873582
131Xe,0.0,0.0,7,0.08890645518234619,1.0
127I,0.0,0.0,7,0.3197971320208851,1.0
113In,0.0,0.0,7,0.22191735964944675,1.0
140Ce,0.0,0.0,1,0.37965241831529534,1.0
138Ba,0.5139048337183405,0.48690917748232,1,0.4716957231816172,1.0
106Pd,4.09985887654385,4.82573777101628,7,0.006841662466468068,1.0
131Xe,0.0,0.0,1,0.34478400811814597,1.0
208Pb,0.253126227856109,0.557611061202409,7,0.026531305753334285,1.0
138Ba,0.835978413731386,0.474947459322431,7,0.19405974213069127,1.0
195Pt,4.08436215000639,4.30103826767246,7,0.08338414269551198,1.0
198Pt,2.45852508965063,2.47594689636001,7,0.27066107397159167,1.0
142Ce,1.94369816176914,1.759880946917,7,0.02575515510609666,1.0
145Nd,0.0,0.0,7,0.36860376015716534,1.0
154Sm,0.0,0.0,7,0.04137515562626231,1.0
160Dy,1.30811376155318,1.69275145340489,7,0.032895242618839374,1.0
161Dy,0.0,0.0,7,0.01212950105704631,1.0
176Lu,0.265329826865288,0.434159435046059,7,0.14474779518751008,1.0
194Pt,4.16647146783134,4.32700541124764,7,0.1325807431578201,1.0
193Ir,5.69211252379934,5.66202487849297,7,0.21250452218328858,1.0
191Ir,5.03925697304618,5.07414488389599,7,0.2449694776004367,1.0
140Ce,0.0,0.0,7,0.4873404759992956,1.0
190BCKG,0.0,0.0,7,0.11541607739605353,1.0
193Ir,5.79670873515225,5.79188687662918,2,0.10191925942368207,1.0
113In,0.0,0.0,8,0.01356703000874789,1.0
127I,0.0,0.0,9,0.2317088891446456,1.0
131Xe,0.0,0.0,9,0.3565128643200839,1.0
138Ba,0.6060824650763995,0.422209788183663,9,0.13287703172684495,1.0
140Ce,0.0,0.0,9,0.4898198126684182,1.0
145Nd,0.0,0.0,9,0.024284590998510013,1.0
154Sm,0.0,0.0,9,0.2012826701166326,1.0
113In,0.0,0.0,9,0.12575531104376425,1.0
160Dy,1.726165312515515,1.68922148619813,9,0.1533256263391935,1.0
176Lu,0.4068588836445945,0.409222370157256,9,0.3360200034492068,1.0
190BCKG,0.0,0.0,9,0.4654541326105398,1.0
191Ir,5.113343597776785,5.1600877558137,9,0.014225438657220407,1.0
193Ir,5.703572209611495,5.75611040971785,9,0.0072925419906687316,1.0
194Pt,4.40800824924987,4.46103128297253,9,0.4844896722508878,1.0
195Pt,4.397576373559985,4.42663607527096,9,0.4056134796584594,1.0
161Dy,0.0,0.0,9,0.27272736982058676,1.0
113In,0.0,0.0,1,0.04709862766766128,1.0
105Pd,2.1179383578737747,2.21576174923373,9,0.11414099219404894,1.0
208Pb,0.624089195288419,0.654913019892838,8,0.024176675026924537,1.0
127I,0.0,0.0,8,0.44792043786726315,1.0
131Xe,0.0,0.0,8,0.01956703366497133,1.0
138Ba,0.621349751089274,0.6266374654285555,8,0.26324851357109413,1.0
140Ce,0.0,0.0,8,0.27331653228572983,1.0
145Nd,0.0,0.0,8,0.47989714583441345,1.0
154Sm,0.0,0.0,8,0.21534077948439845,1.0
102Pd,4.61201402954879,4.79132361051853,9,0.02967665353761491,1.0
160Dy,2.05398313304422,2.055964292980255,8,0.48162589551932283,1.0
161Dy,0.0,0.0,8,0.03954112514058204,1.0
176Lu,0.491441979026315,0.48193619659042,8,0.1403337608002183,1.0
190BCKG,0.0,0.0,8,0.4949922158397829,1.0
194Pt,4.05975399934426,4.035381231474485,8,0.36983187573489784,1.0
195Pt,4.0282653802741,4.00509836444528,8,0.21298268766468093,1.0
198Pt,2.15517531645691,2.123891983865605,8,0.4072854169555312,1.0
105Pd,2.42998558461233,2.21563666093661,7,0.046774715765891726,1.0
104Pd,2.37721828451329,2.11901672309283,7,0.03344260347058109,1.0
138Ba,0.46223583200559104,0.3954899433572615,6,0.23353261321107022,1.0
208Pb,0.3528951380601205,0.3739932766254155,6,0.254593614362121,1.0
105Pd,2.85923605297072,2.82495298010468,2,0.06877324635870703,1.0
193Ir,5.71342812499661,5.72273136006349,4,0.031392828358417404,1.0
190BCKG,0.0,0.0,4,0.3855893412413829,1.0
176Lu,0.258720033273407,0.265291188107878,4,0.43966990174186904,1.0
161Dy,0.0,0.0,4,0.22375241626023068,1.0
154Sm,0.0,0.0,4,0.4697452837556497,1.0
145Nd,0.0,0.0,4,0.323314970792063,1.0
140Ce,0.0,0.0,4,0.10012161306827777,1.0
138Ba,0.54354897506196,0.575988866039046,4,0.08347648572949701,1.0
131Xe,0.0,0.0,4,0.0051229854789436174,1.0
127I,0.0,0.0,4,0.09651434636224127,1.0
127I,0.0,0.0,2,0.013518910621370606,1.0
131Xe,0.0,0.0,2,0.4920254781843081,1.0
138Ba,0.432722544903118,0.424917271233456,2,0.3723895771554101,1.0
190BCKG,0.0,0.0,3,0.16657274111376508,1.0
176Lu,0.269209429731194,0.275857972497115,3,0.28501824469370185,1.0
160Dy,1.11617398849764,1.14502038542136,3,0.20188826890706763,1.0
190BCKG,0.0,0.0,2,0.31744429382967915,1.0
176Lu,0.437639526270525,0.461397839263575,2,0.05614241761163391,1.0
161Dy,0.0,0.0,2,0.22555701896482983,1.0
208Pb,0.751765697806608,0.735790242699821,2,0.1191244984949219,1.0
154Sm,0.0,0.0,2,0.19417101259477193,1.0
145Nd,0.0,0.0,2,0.011052637243975953,1.0
208Pb,0.7219219534794525,0.686917966655882,1,0.024388099731570856,1.0
140Ce,0.0,0.0,2,0.14010779164032788,1.0
131Xe,0.0,0.0,3,0.45185507769234096,1.0
138Ba,0.515551235419859,0.50316776583276,3,0.3505410207166234,1.0
140Ce,0.0,0.0,3,0.33565082515701394,1.0
142Ce,2.0641159943879,2.03023872376494,3,0.014290325382067834,1.0
145Nd,0.0,0.0,3,0.10521527613389858,1.0
154Sm,0.0,0.0,3,0.3194550958003085,1.0
113In,0.0,0.0,3,0.3556314709276429,1.0
208Pb,0.594872964978297,0.587078235777581,4,0.18398277063182839,1.0
193Ir,5.772541198532885,5.76379052938268,1,0.022043766276679953,1.0
191Ir,5.159688099670305,5.16669105147955,1,0.32785348181285445,1.0
131Xe,0.0,0.0,6,0.3732973872233666,1.0
191Ir,5.18444744107176,5.18820104502433,2,0.07280729250573097,1.0
140Ce,0.158797071742463,0.147234063510708,6,0.19385544543705685,1.0
142Ce,1.905593521598,2.0065682871032298,6,0.009743130725128595,1.0
145Nd,0.996526169103539,1.058056664505955,6,0.11128143544033858,1.0
154Sm,0.023122138802372648,0.03265349655087045,6,0.25349501216706055,1.0
127I,0.0,0.0,6,0.4585214285025608,1.0
160Dy,1.2639828445073449,1.351410752677535,6,0.04545065155385407,1.0
190BCKG,0.0,0.0,6,0.008866893259572538,1.0
191Ir,5.141526881978975,5.130956694090875,6,0.29604205186294713,1.0
193Ir,5.76298594343033,5.759168496737924,6,0.4956959850925303,1.0
194Pt,3.9110256353657,3.976084074249405,6,0.07494739571700282,1.0
195Pt,3.84997392481832,3.93859058113584,6,0.05390590585297789,1.0
198Pt,1.755365763435165,1.731589009238565,6,0.3203164926591403,1.0
161Dy,0.0,0.0,6,0.12740882350794352,1.0
102Pd,5.01656849621823,5.09266334361708,7,0.04516846770048179,1.0
113In,0.0,0.0,6,0.32445388183393953,1.0
108Pd,2.181233556659395,2.136762575199045,6,0.31600282329435153,1.0
190BCKG,0.0,0.0,1,0.0638714010831228,1.0
176Lu,0.35259263277506847,0.386002717533354,1,0.03469586191277877,1.0
113In,0.0,0.0,5,0.05444461588203869,1.0
127I,0.0,0.0,5,0.22704039771538553,1.0
131Xe,0.0,0.0,5,0.23065053559265014,1.0
138Ba,0.503337798368104,0.488662428328347,5,0.38702002609617625,1.0
110Pd,1.965692949657445,1.81638696677318,6,0.19308606031990921,1.0
140Ce,0.0,0.0,5,0.0064722769886554656,1.0
154Sm,0.0,0.0,5,0.33924463143447336,1.0
161Dy,0.0,0.0,1,0.3451632850351275,1.0
161Dy,0.0,0.0,5,0.4978739374882406,1.0
193Ir,5.7724808396784,5.77443570242618,5,0.12276598025386842,1.0
154Sm,0.0,0.0,1,0.15844931051635763,1.0
145Nd,0.0,0.0,1,0.12207031671526719,1.0
198Pt,2.5758609735126203,2.59719927303054,9,0.3948477434127099,1.0
208Pb,0.459730788582581,0.506547818229309,9,0.12299244941086718,1.0
